Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Water Temp,Surface Interval,Decompression
hiking,2018-05-25 05:49:10,false,"Mazaricos Hiking","50.11","2,904","11:22:38","103","150","2.2","96","256","13:38","4:38","949","1,160","0.76","10.9","8.3","499","49.3% L / 50.8% R","0.0","0.0","0.0","0:00","17.0","0:00","No"
hiking,2018-05-24 07:55:10,false,"Santiago de Compostela Hiking","44.10","2,946","10:14:13","109","155","3.2","94","205","13:55","3:07","1,023","939","0.74","11.0","8.2","508","49.3% L / 50.7% R","0.0","0.0","0.0","0:00","18.0","0:00","No"
hiking,2018-05-23 06:15:34,false,"O Pino Hiking","20.48","1,147","04:37:56","99","131","1.4","98","246","13:34","4:39","361","402","0.74","10.9","8.2","498","49.3% L / 50.7% R","0.0","0.0","0.0","0:00","13.0","0:00","No"
hiking,2018-05-22 07:46:49,false,"Arzúa Hiking","21.47","1,170","04:57:01","94","128","1.1","95","256","13:50","5:47","357","483","0.74","10.6","7.8","514","49.5% L / 50.5% R","0.0","0.0","0.0","0:00","17.0","0:00","No"
hiking,2018-05-21 06:33:58,false,"Palas de Rei Hiking","30.01","1,768","07:19:01","94","135","1.6","92","256","14:38","7:27","593","767","0.73","10.6","7.8","509","49.4% L / 50.6% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-05-20 06:37:44,false,"Paradela Hiking","34.80","2,013","08:31:31","95","135","2.0","89","256","14:42","3:00","656","745","0.74","10.4","7.8","522","49.6% L / 50.4% R","0.0","0.0","0.0","0:00","15.0","0:00","No"
hiking,2018-05-19 06:21:18,false,"Triacastela Hiking","31.95","1,943","07:33:16","100","138","1.7","91","256","14:11","5:45","745","751","0.72","10.9","7.9","522","49.5% L / 50.5% R","0.0","0.0","0.0","0:00","17.0","0:00","No"
hiking,2018-05-18 06:35:57,false,"Vega de Valcarce Hiking","37.46","2,654","09:27:36","106","153","2.3","87","248","15:09","2:44","1,068","992","0.74","11.0","8.1","533","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-05-17 07:39:01,false,"Camponaraya Hiking","30.63","1,832","06:47:05","105","135","1.0","96","226","13:17","9:15","450","322","0.77","10.4","8.2","528","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","19.0","0:00","No"
hiking,2018-05-16 06:32:06,false,"Santa Colomba de Somoza Hiking","44.13","2,912","10:41:36","107","146","1.5","95","213","14:33","1:19","643","1,248","0.71","9.9","7.1","529","49.6% L / 50.4% R","0.0","0.0","0.0","0:00","18.0","0:00","No"
hiking,2018-05-15 07:27:08,false,"Hospital de Órbigo Hiking","39.12","2,881","09:04:45","115","169","4.2","90","165","13:55","3:44","486","142","0.77","10.4","8.1","535","49.3% L / 50.7% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-05-14 06:38:00,false,"León Hiking","33.77","1,851","07:28:21","102","128","0.7","99","256","13:17","4:37","218","253","0.76","10.0","7.7","511","49.2% L / 50.8% R","0.0","0.0","0.0","0:00","20.0","0:00","No"
hiking,2018-05-12 07:33:39,false,"Mansilla de las Mulas Hiking","19.69","1,000","04:07:19","97","128","0.8","106","193","12:34","6:37","218","186","0.74","10.4","7.9","521","49.9% L / 50.1% R","0.0","0.0","0.0","0:00","14.0","0:00","No"
hiking,2018-05-11 06:37:07,false,"El Burgo Ranero Hiking","24.69","1,315","06:14:47","90","119","0.5","84","256","15:11","8:07","85","178","0.76","10.0","7.7","529","50.1% L / 49.9% R","0.0","0.0","0.0","0:00","13.0","0:00","No"
hiking,2018-05-10 06:41:19,false,"Lagartos Hiking","28.89","1,525","07:08:05","93","122","0.4","84","234","14:49","2:17","228","230","0.76","10.3","7.9","535","49.7% L / 50.3% R","0.0","0.0","0.0","0:00","13.0","0:00","No"
hiking,2018-05-09 13:17:38,false,"Ledigos Hiking","3.00","204","00:42:13","101","113","0.7","93","134","14:04","10:31","24","17","0.77","9.9","7.7","542","50.6% L / 49.4% R","0.0","0.0","0.0","0:00","29.0","0:00","No"
hiking,2018-05-09 06:38:06,false,"Carrión de los Condes Hiking","24.78","1,376","05:49:56","98","124","0.9","93","256","14:07","8:30","116","76","0.76","9.9","7.6","537","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","12.0","0:00","No"
hiking,2018-05-08 06:52:44,false,"Frómista Hiking","20.30","1,081","04:29:57","96","127","1.2","100","256","13:18","8:59","100","57","0.75","9.9","7.6","536","49.7% L / 50.3% R","0.0","0.0","0.0","0:00","17.0","0:00","No"
hiking,2018-05-07 07:54:00,false,"Itero de la Vega Hiking","16.12","1,206","06:03:00","92","120","0.5","60","256","22:31","2:52","95","76","0.73","9.6","7.1","539","49.5% L / 50.5% R","0.0","0.0","0.0","0:00","19.0","0:00","No"
hiking,2018-05-06 07:58:07,false,"Hontanas Hiking","22.12","1,545","06:53:06","98","167","3.1","77","256","18:40","9:52","223","320","0.70","9.3","6.5","541","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","23.0","0:00","No"
hiking,2018-05-05 07:28:16,false,"Tardajos Hiking","21.29","1,259","06:01:04","91","115","0.4","83","256","16:57","8:48","297","235","0.70","9.0","6.4","579","49.6% L / 50.4% R","0.0","0.0","0.0","0:00","15.0","0:00","No"
hiking,2018-05-04 07:43:45,false,"Cardeñuela Riopico Hiking","31.05","1,497","07:12:33","91","129","0.6","82","256","13:56","6:35","118","225","0.75","9.5","7.3","521","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-05-03 07:04:42,false,"Villafranca Montes de Oca Hiking","25.01","1,479","05:35:41","105","139","2.1","98","226","13:25","7:27","413","461","0.75","10.2","7.8","527","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","14.0","0:00","No"
hiking,2018-05-02 08:12:20,false,"Viloria de Rioja Hiking","20.83","1,208","04:34:44","103","130","0.9","98","163","13:11","8:51","353","203","0.76","10.1","7.8","538","49.2% L / 50.8% R","0.0","0.0","0.0","0:00","14.0","0:00","No"
hiking,2018-05-01 07:11:19,false,"Cirueña Hiking","21.56","1,245","05:04:39","99","123","0.8","93","233","14:07","9:30","254","216","0.74","9.7","7.3","547","49.7% L / 50.3% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-04-30 07:09:45,false,"Ventosa Hiking","28.00","1,681","06:49:53","101","140","2.0","88","256","14:39","6:19","397","297","0.76","9.9","7.7","548","49.4% L / 50.6% R","0.0","0.0","0.0","0:00","15.0","0:00","No"
hiking,2018-04-29 07:01:14,false,"Logrono Hiking","21.66","1,433","05:50:17","102","132","1.1","75","192","16:10","5:15","324","77","0.79","10.7","8.4","543","49.4% L / 50.6% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-04-28 07:42:13,false,"Los Arcos Hiking","29.21","1,787","06:47:07","106","156","1.9","97","256","13:56","3:29","364","424","0.74","10.2","7.7","565","49.5% L / 50.5% R","0.0","0.0","0.0","0:00","18.0","0:00","No"
hiking,2018-04-27 07:29:13,false,"Estella Hiking","21.28","1,486","05:56:56","103","144","2.0","81","256","16:46","2:03","343","341","0.72","10.1","7.3","536","50.5% L / 49.5% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-04-26 07:32:58,false,"Puente La Reina Hiking","22.52","1,596","05:04:47","116","158","2.5","98","256","13:32","8:43","362","282","0.73","10.7","7.9","534","50.5% L / 49.5% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-04-25 07:23:24,false,"Pamplona Hiking","26.72","1,718","06:28:39","108","152","2.3","91","256","14:33","4:46","420","522","0.73","10.1","7.4","531","50.1% L / 49.9% R","0.0","0.0","0.0","0:00","20.0","0:00","No"
hiking,2018-04-24 07:44:17,false,"Esteribar Hiking","22.50","1,712","05:49:46","113","148","2.3","88","256","15:33","6:40","219","300","0.72","11.0","7.9","540","50.3% L / 49.7% R","0.0","0.0","0.0","0:00","17.0","0:00","No"
hiking,2018-04-23 06:59:26,false,"Roncesvalles Hiking","22.69","1,683","06:13:24","109","160","3.1","85","256","16:27","5:49","274","682","0.71","10.5","7.5","543","50.1% L / 49.9% R","0.0","0.0","0.0","0:00","15.0","0:00","No"
hiking,2018-04-22 07:32:01,false,"Saint-Michel Hiking","17.37","1,523","04:08:15","128","162","4.7","99","233","14:18","6:05","668","526","0.71","12.0","8.4","542","50.1% L / 49.9% R","0.0","0.0","0.0","0:00","16.0","0:00","No"
hiking,2018-04-21 08:58:55,false,"Saint-Jean-Pied-de-Port Hiking","8.16","1,199","02:22:59","135","167","4.7","80","256","17:32","8:07","620","25","0.70","13.0","9.1","575","50.3% L / 49.7% R","0.0","0.0","0.0","0:00","23.0","0:00","No"
